village_id,latitude,longitude,elevation,x_cross_km,downscaled_jjas_rainfall_mm,inside_validated_band
mh2.geojson:3589,16.85928,74.41778,548.4,68.27,471.7,False
mh2.geojson:3590,16.85602,74.4268,548.8,69.21,476.5,False
mh2.geojson:3591,16.84232,74.39784,552.4,65.9,508.8,False
mh2.geojson:3592,16.84848,74.43071,545.1,69.55,480.9,False
mh2.geojson:3593,16.81449,74.38593,587.4,64.26,525.4,False
mh2.geojson:3594,16.77307,74.39538,641.2,64.69,518.1,False
mh2.geojson:3595,16.78184,74.38126,643.8,63.3,524.5,False
mh2.geojson:3596,16.73551,74.39125,596.7,63.59,585.9,False
mh2.geojson:3597,16.71112,74.39608,561.4,63.62,565.1,False
mh2.geojson:3598,16.71918,74.40977,571.4,65.23,547.5,False
mh2.geojson:3599,16.68771,74.40215,547.8,63.72,567.0,False
mh2.geojson:3600,16.65968,74.40479,541.9,63.28,544.1,False
mh2.geojson:3601,16.66229,74.43686,543.6,66.66,516.0,False
mh2.geojson:3602,16.63645,74.40365,556.9,62.49,566.1,False
mh2.geojson:3603,16.61684,74.42283,556.6,63.83,615.2,False
mh2.geojson:3604,16.57556,74.37878,556.8,57.94,682.9,False
mh2.geojson:3605,16.59235,74.40203,563.2,60.88,643.0,False
mh2.geojson:3606,16.27074,74.40276,671.4,54.99,716.4,False
mh2.geojson:3607,16.24259,74.41192,639.5,52.91,676.6,False
mh2.geojson:3608,16.24384,74.43117,645.2,54.55,637.9,False
mh2.geojson:3609,16.23715,74.44466,640.2,54.96,621.0,False
mh2.geojson:3610,16.21035,74.4304,664.8,51.44,708.0,False
mh2.geojson:3611,16.22049,74.41157,639.2,50.73,699.6,False
mh2.geojson:3612,16.20901,74.40629,658.3,49.28,751.6,False
mh2.geojson:3613,16.20137,74.41659,666.7,49.57,733.4,False
mh2.geojson:3614,16.18938,74.40452,726.2,47.69,752.6,False
mh2.geojson:3615,16.19045,74.41429,738.4,48.67,729.6,False
mh2.geojson:3616,16.18042,74.43119,736.7,49.99,751.8,False
mh2.geojson:3617,16.16832,74.3846,773.7,44.82,851.1,False
mh2.geojson:3618,16.16543,74.41182,802.3,47.7,814.3,False
mh2.geojson:3619,16.14756,74.42405,748.8,49.41,778.8,False
mh2.geojson:3620,16.14536,74.40704,760.5,47.38,822.7,False
mh2.geojson:3621,16.13167,74.41398,802.4,48.67,856.6,False
mh2.geojson:3622,16.13251,74.39775,814.9,46.61,874.7,False
mh2.geojson:3623,16.12275,74.44002,814.6,52.1,767.6,False
mh2.geojson:3624,16.11358,74.40807,747.0,48.44,859.8,False
mh2.geojson:3625,16.11924,74.41423,788.4,49.06,845.5,False
mh2.geojson:3626,16.10082,74.39817,740.6,47.46,830.2,False
mh2.geojson:3627,16.03954,74.41535,714.9,47.83,870.8,False
mh2.geojson:3628,16.02299,74.39559,751.1,45.01,958.0,False
mh2.geojson:3629,16.0238,74.42804,717.0,47.98,920.8,False
mh2.geojson:3630,16.01752,74.42992,738.4,47.68,928.8,False
mh2.geojson:3631,16.00295,74.41928,703.9,45.59,965.1,False
mh2.geojson:3632,15.9931,74.41548,718.6,44.4,989.0,False
mh2.geojson:3633,15.99892,74.43481,758.8,46.51,922.5,False
mh2.geojson:3634,15.98293,74.40402,723.5,42.53,1067.4,False
mh2.geojson:3635,15.97191,74.4249,770.8,43.04,1102.7,False
mh2.geojson:3636,15.96236,74.39629,777.1,39.84,1229.7,False
mh2.geojson:3637,15.95308,74.41699,811.8,40.35,1215.7,False
mh2.geojson:3638,15.9436,74.39679,811.5,37.78,1320.5,False
mh2.geojson:3639,15.93555,74.39891,842.9,36.97,1320.8,False
mh2.geojson:3677,17.47367,74.37809,747.5,77.44,479.2,False
mh2.geojson:3678,17.42343,74.37759,720.7,76.12,483.7,False
mh2.geojson:3679,17.3966,74.36642,703.5,74.19,513.3,False
mh2.geojson:3680,17.37374,74.36228,690.0,73.06,518.0,False
mh2.geojson:3681,17.29252,74.3605,665.9,70.19,503.9,False
mh2.geojson:3682,17.26888,74.36458,666.9,69.82,460.4,False
mh2.geojson:3683,17.20392,74.37232,655.5,68.58,488.1,False
mh2.geojson:3684,17.02273,74.3599,557.7,63.68,574.2,False
mh2.geojson:3685,16.70087,74.37767,550.2,61.45,598.5,False
mh2.geojson:3686,16.913,74.37642,569.8,64.3,550.6,False
mh2.geojson:3687,16.84721,74.37222,556.1,63.16,507.1,False
mh2.geojson:3688,16.78788,74.36843,697.5,62.01,537.5,False
mh2.geojson:3689,16.7443,74.37123,595.9,61.62,595.8,False
mh2.geojson:3690,16.66067,74.36624,551.2,59.3,591.4,False
mh2.geojson:3691,16.62483,74.36458,575.2,58.14,621.2,False
mh2.geojson:3692,16.54728,74.37155,550.7,56.15,707.1,False
mh2.geojson:3693,16.2779,74.37444,682.4,53.31,762.7,False
mh2.geojson:3694,16.26755,74.38603,661.4,53.35,753.5,False
mh2.geojson:3695,16.25537,74.36796,652.5,50.74,806.5,False
mh2.geojson:3696,16.2436,74.39216,637.8,51.47,725.5,False
mh2.geojson:3697,16.22369,74.38805,641.2,49.16,721.4,False
mh2.geojson:3698,16.18962,74.363,664.8,44.02,881.8,False
mh2.geojson:3699,16.19603,74.38897,677.2,46.76,808.6,False
mh2.geojson:3700,16.15042,74.38998,802.1,45.24,882.2,False
mh2.geojson:3701,16.14743,74.38016,810.9,44.12,912.6,False
mh2.geojson:3702,16.12339,74.38133,826.5,44.86,942.5,False
mh2.geojson:3703,16.11831,74.3973,767.9,47.01,907.8,False
mh2.geojson:3704,16.10797,74.36866,824.8,43.77,1009.4,False
mh2.geojson:3705,16.10718,74.38738,803.5,46.08,928.3,False
mh2.geojson:3706,16.08847,74.38106,742.4,45.57,878.2,False
mh2.geojson:3707,16.0218,74.37166,756.1,42.73,1018.4,False
mh2.geojson:3708,16.00831,74.38541,706.0,43.1,1083.4,False
mh2.geojson:3709,15.99457,74.37669,704.6,41.29,1138.6,False
mh2.geojson:3710,15.97379,74.37537,702.4,39.36,1186.4,False
mh2.geojson:3711,15.97253,74.38315,705.1,39.86,1177.9,False
mh2.geojson:3712,15.97314,74.38996,704.8,40.46,1161.4,False
mh2.geojson:3713,15.96878,74.36427,704.5,37.99,1250.7,False
mh2.geojson:3714,15.95237,74.3732,742.8,37.02,1374.0,False
mh2.geojson:3715,15.94855,74.3633,709.4,35.86,1438.2,False
mh2.geojson:3716,15.93492,74.37092,746.9,34.88,1473.9,False
mh2.geojson:3717,15.9268,74.36967,746.0,33.83,1492.8,False
mh2.geojson:3718,15.92354,74.38564,835.0,34.56,1373.0,False
mh2.geojson:3719,15.91279,74.37569,898.2,32.52,1417.9,False
mh2.geojson:3720,15.90656,74.38509,916.3,32.39,1260.6,False
mh2.geojson:3721,15.8879,74.38585,832.7,30.1,1365.8,False
mh2.geojson:3722,15.8688,74.39716,753.8,28.6,1592.7,False
mh2.geojson:3723,15.86175,74.39242,760.7,27.45,1612.6,False
mh2.geojson:3724,15.79033,74.36356,765.5,20.17,2680.3,False
mh2.geojson:3725,16.86425,74.6159,573.9,89.81,374.9,False
mh2.geojson:3726,16.88526,74.62713,587.7,91.32,371.1,False
mh2.geojson:3727,16.84148,74.61372,561.0,89.22,382.6,False
mh2.geojson:3728,16.81122,74.61198,546.0,88.51,397.5,False
mh2.geojson:3729,16.69955,74.62619,543.3,87.2,405.3,False
mh2.geojson:3730,16.68567,74.6134,540.0,85.45,421.3,False
mh2.geojson:3731,16.61391,74.61906,543.1,83.42,425.5,False
mh2.geojson:3732,16.58406,74.61258,537.2,81.75,433.6,False
mh2.geojson:3799,17.51385,74.55545,746.9,96.9,367.6,False
mh2.geojson:3800,17.47667,74.57088,733.1,97.48,380.4,False
mh2.geojson:3801,17.44597,74.55936,705.1,95.37,386.2,False
mh2.geojson:3802,17.39822,74.57821,723.4,95.72,378.1,False
mh2.geojson:3803,17.36223,74.56138,695.2,92.81,378.5,False
mh2.geojson:3804,17.33451,74.57135,707.9,92.9,363.4,False
mh2.geojson:3805,17.30097,74.57245,734.3,91.95,368.5,False
mh2.geojson:3806,17.26547,74.55116,706.1,88.72,382.7,False
mh2.geojson:3807,17.24223,74.57051,717.2,90.09,404.8,False
mh2.geojson:3808,17.21155,74.57606,665.5,89.96,389.4,False
mh2.geojson:3809,17.18206,74.56553,640.8,88.25,396.7,False
mh2.geojson:3810,17.16027,74.55358,617.7,86.58,406.5,False
mh2.geojson:3811,17.12521,74.55751,598.7,86.43,406.8,False
mh2.geojson:3812,17.10263,74.56115,586.4,86.51,399.9,False
mh2.geojson:3813,17.07916,74.57078,585.1,87.26,400.2,False
mh2.geojson:3814,16.69953,74.5821,538.2,82.69,410.9,False
mh2.geojson:3815,16.61329,74.56165,547.0,77.64,454.8,False
mh2.geojson:3816,17.00096,74.57761,564.8,87.18,385.4,False
mh2.geojson:3817,16.98495,74.57438,561.3,86.68,394.9,False
mh2.geojson:3818,16.95532,74.57926,560.0,86.92,380.8,False
mh2.geojson:3819,16.93055,74.58063,559.7,86.81,376.4,False
mh2.geojson:3820,16.90971,74.56155,551.4,84.5,388.0,False
mh2.geojson:3821,16.86115,74.55808,550.7,83.53,395.6,False
mh2.geojson:3822,16.81571,74.5686,544.1,83.96,410.6,False
mh2.geojson:3823,16.7769,74.55298,557.9,81.57,422.4,False
mh2.geojson:3824,16.74118,74.57672,548.2,83.27,404.5,False
mh2.geojson:3825,16.64621,74.56254,545.4,78.96,451.5,False
mh2.geojson:3826,16.57409,74.5767,540.7,77.77,460.3,False
mh2.geojson:3827,16.77717,74.55619,557.3,81.92,420.6,False
mh2.geojson:3838,17.06829,74.53907,581.7,83.69,415.9,False
mh2.geojson:3844,17.35638,74.54242,683.3,90.7,385.8,False
mh2.geojson:3845,17.31282,74.54505,702.9,89.53,368.8,False
mh2.geojson:3846,17.20498,74.54302,644.6,86.34,409.4,False
mh2.geojson:3847,17.16711,74.5367,616.8,84.9,411.9,False
mh2.geojson:3848,17.13531,74.55077,598.4,85.86,413.2,False
mh2.geojson:3849,17.09496,74.52772,591.5,82.79,415.8,False
mh2.geojson:3850,17.022,74.54232,572.7,83.53,414.1,False
mh2.geojson:3851,17.02534,74.54327,573.2,83.67,417.1,False
mh2.geojson:3852,17.00854,74.52787,569.1,81.82,408.0,False
mh2.geojson:3853,17.00086,74.54919,567.2,84.07,392.8,False
mh2.geojson:3854,16.98734,74.53335,559.3,82.21,402.7,False
mh2.geojson:3855,16.94712,74.55352,555.1,84.02,390.7,False
mh2.geojson:3856,16.95922,74.51679,551.7,80.12,425.0,False
mh2.geojson:3857,16.91742,74.53799,548.4,82.02,391.7,False
mh2.geojson:3858,16.89273,74.54823,548.4,82.86,402.3,False
mh2.geojson:3859,16.82882,74.5278,548.6,79.79,412.5,False
mh2.geojson:3860,16.8424,74.54786,545.0,82.16,399.8,False
mh2.geojson:3861,16.79863,74.5532,547.1,82.02,426.3,False
mh2.geojson:3862,16.78532,74.52168,566.1,78.41,447.2,False
mh2.geojson:3863,16.74512,74.55156,554.6,80.73,428.1,False
mh2.geojson:3864,16.72587,74.53847,552.1,78.9,423.4,False
mh2.geojson:3865,16.72347,74.51376,563.7,76.26,449.1,False
mh2.geojson:3866,16.72405,74.52822,551.8,77.78,430.6,False
mh2.geojson:3867,16.69025,74.54817,539.6,78.93,428.0,False
mh2.geojson:3868,16.65469,74.52303,545.3,75.25,486.9,False
mh2.geojson:3869,16.6371,74.52478,552.6,74.83,483.7,False
mh2.geojson:3919,17.50363,74.58836,762.2,100.04,367.3,False
mh2.geojson:3920,17.45963,74.58491,723.0,98.39,377.8,False
mh2.geojson:3921,17.37903,74.59832,724.9,97.1,369.3,False
mh2.geojson:3922,17.33969,74.59452,714.4,95.42,357.5,False
mh2.geojson:3923,17.31708,74.58825,739.0,94.06,361.0,False
mh2.geojson:3924,17.29341,74.5972,773.6,94.25,364.6,False
mh2.geojson:3925,17.18644,74.58569,648.2,90.47,389.3,False
mh2.geojson:3926,17.16241,74.59843,647.8,91.4,390.0,False
mh2.geojson:3927,17.11524,74.58911,618.6,89.7,387.8,False
mh2.geojson:3928,17.07827,74.59084,617.5,89.43,392.0,False
mh2.geojson:3929,17.03199,74.59318,585.9,89.19,381.3,False
mh2.geojson:3930,16.90443,74.58881,562.9,87.41,386.2,False
mh2.geojson:3931,16.89473,74.58395,557.3,86.76,389.7,False
mh2.geojson:3932,16.81398,74.59668,545.0,86.93,403.2,False
mh2.geojson:3933,16.81447,74.58634,544.7,85.84,407.1,False
mh2.geojson:3934,16.78506,74.58004,550.0,84.61,408.0,False
mh2.geojson:3935,16.78334,74.6025,546.9,86.94,397.7,False
mh2.geojson:3936,16.73687,74.59948,547.9,85.53,393.3,False
